,0
0,5033521547014815
1,2375502443545179
2,1268773789851994
3,3674250332927722
4,8841334894205599
5,7261961344060120
6,4822360914917682
7,0950366310938447
8,7357324433079681
9,8754335906813622
10,8323178878206962
11,4676278711005293
12,1333516694233409
13,3935346650549291
14,0234920940703210
15,5125058490936708
16,3027670493001716
17,7326620682313478
18,6321179168854922
19,2194016802158346
20,5136161277318799
21,8956458007749112
22,2925730638533987
23,8739431159426389
24,3151839347265148
25,5434363301784948
26,9911259269353185
27,9974684005171829
28,2710474728753403
29,5436713663763286
30,5326072118518067
31,8970751075617926
32,9844025111996256
33,4517484241515548
34,2250864123409266
35,0806064137922471
36,5746097026160276
37,1479357603158076
38,3614186131432854
39,4016576596215504
40,1925868226636086
41,4947860249518663
42,1804923065266455
43,7586955305848168
44,1795516271097895
45,3869820274542343
46,7297737442136792
47,2031806059477046
48,4720283421615359
49,7501959623721607
50,3131637447868865
51,6352285207676599
52,3928718182243143
53,3277590512734391
54,0602004678831661
55,1928032004153127
56,4066072778891818
57,7831378362627809
58,3977660018939385
59,0482551013400931
60,3010441499735789
61,7824954032846499
62,0565062540207457
63,3817417564823793
64,7445031966618983
65,9681334300604531
66,6795697552195600
67,2645681829598421
68,7913451338414184
69,6402361744624287
70,0173687407965726
71,9499667962973167
72,1936337806232049
73,7372780368236022
74,5837260966665885
75,4327695267566592
76,1869692918489026
77,3793303917115299
78,9016339697026494
79,5123689806783161
80,1023597870118105
81,4401319386725357
82,0223997495223283
83,2240951178648368
84,5439768560638141
85,5262190522408958
86,6516219295405539
87,6498404522445333
88,8510726976369443
89,5554254760869075
90,5832778223847349
91,1290031462581422
92,1013687028833943
93,1966575261694373
94,9177572441291520
95,2138654072839905
96,3058512809761818
97,7666734780195647
98,8886485096957731
99,4325989861878031
