,0
0,6457412713967642
1,1962867485120733
2,4596803719744056
3,4299796637895651
4,3511534795805776
5,7244663767446774
6,3304211079659943
7,3318871716111536
8,0948290593868816
9,6741344424648342
10,9480268986413015
11,8023869177216297
12,4195594302858278
13,0292814253435774
14,8764485326718018
15,3689380418823388
16,6509302993182663
17,8551642748793896
18,9526156414461152
19,2272000258230548
20,4825842916850534
21,8031087349809439
22,7912919431438847
23,3268732497595112
24,4585719152284650
25,6698246156573680
26,5933961538037309
27,0223274024436216
28,7404029442077952
29,6073841207993010
30,0734008065460296
31,8807333466702951
32,1471831680348653
33,4484083685251673
34,2306964700488382
35,5945879465310813
36,8217850863705574
37,0450422270760261
38,7316338454902623
39,6946599956105105
40,7408984376493963
41,1608252203113404
42,4454863839030427
43,7321869768889062
44,2604388082970935
45,9108165385623504
46,6812712541815164
47,7828325860191703
48,9956829222003643
49,4447887460691840
50,9099032959087648
51,9409484395005688
52,8378380401850485
53,4436183480921146
54,1239363625676317
55,2261555898412006
56,8129813828982829
57,1055167132036400
58,9946783270297825
59,4649853685495071
60,4134159224948682
61,4224540229202107
62,4050543278806170
63,7277709797105149
64,4391969032505723
65,2935371042756080
66,0590907492251966
67,4864692688677667
68,8652081312944025
69,8624365405849433
