,0
0,4326208104063874
1,9187049744585856
2,5009042939501223
3,6161888127051479
4,1415005734830737
5,6293663565260182
6,6917976245462312
7,1542546016217813
8,8521384605324445
9,2134644742559817
10,8494412366544288
11,0488653952117827
12,5766592315448911
13,4636070134736820
14,6183354843509348
15,4860175234818683
16,1745194055679908
17,2123038879875164
18,6013138032598090
19,0237905234427383
20,1387759122423244
21,3299100010535257
22,1455400309660081
23,2400983698111640
24,3326522478832809
25,3384627608811915
26,0626509177712805
27,8436515676441851
28,5026756555102333
29,4065824911933203
30,2163429510713972
31,7022519480996266
32,9933618022571181
33,2781335556581645
34,7346993650415356
35,1097985827805133
36,1550330565257371
37,0162059400153020
38,4257306673350065
39,1684574356606924
40,9638917902863360
41,5110821848999124
42,0721743417678801
43,9022653972546608
44,4275343111687273
45,3897627554738983
46,8492376468047417
47,4544450092427426
48,5673229011742456
49,6681044486435612
50,1316491658346452
51,2160962871872689
52,3169341014723176
53,7001106299339932
54,9393903837681988
55,5126499719919062
56,3814504901386844
57,4320362411241786
58,3099765198910740
59,8153478596620105
60,1183672452248157
61,6796970691432850
62,5193649615872035
63,4203867944943427
64,6652867749152426
65,0217730025993961
66,2165391096880394
67,1830703022731463
68,0342378193333117
69,6530346906709462
70,9008904518804851
71,4467359922427457
72,8015275228271541
73,5057017159206057
74,2006638367304868
75,1538338871689655
76,7430030311775522
77,6730543200776161
78,6874717097891723
79,6647582671406048
80,2834403735297272
81,2021890970181321
82,7081512949222824
83,1779931169656381
84,9760572631474843
85,3811860108088688
86,3564652725974759
87,0243906744273591
88,1886098993540794
89,0974509229906743
90,3423947933040223
91,9954330400546507
92,4463138671998432
93,6475201017904851
94,7085674308155467
95,5621408950724946
96,7350868156912544
97,5689119481203018
98,8550194926612730
99,9912927649871374
