,0
0,8293766070107110
1,1104009511235835
2,3139536479960191
3,2528061531430488
4,8035634297294419
5,2294519993210835
6,6203097295718656
7,0364008562820352
8,4569066105708117
9,8170349662210452
10,2961250776014138
11,0012168139768170
12,3124753907036602
13,1957942090126269
14,2468979908831549
15,2485073932883264
16,4887156772722646
17,2940601420337733
18,7773347552369000
19,1346953378512506
20,2379537571984824
21,3583921436364162
22,0389175519424617
23,2207239537360072
24,5624414419867021
25,5011837939713517
26,6400934417933768
27,5382690864755190
28,6525569862867870
29,2226887922453028
30,4336175279058172
31,2887483998607584
32,0317428416917519
33,7117463277824928
34,8058296962302730
35,9108415300636127
36,6148007775748893
37,1455543858431600
38,1453814746369711
39,4484092525465200
40,2373407116594350
41,2544637819098374
42,3368095273001627
43,3971663510252293
44,8696858608013659
45,9624031110564127
46,5236758856687873
47,6657982919353726
48,2523688745611202
49,5290164798310287
50,7476904353230115
51,2302301471457270
52,4648711010185688
53,0278717765065500
54,1068643513710663
55,8497878967418484
56,7826232118891914
57,5699099425805843
58,8190168751489630
59,9019341539335784
