,0
0,7437115504621985
1,8836796037831177
2,9466801408291152
3,7705036710106784
4,9403441722826732
5,0967035318418472
6,9399432141689396
7,7634064436937002
8,3900177177421722
9,0775784074096042
10,7703965468401532
11,5832739049925970
12,2317557283480384
13,6689535213333940
14,1672274202055214
15,5194561758118711
16,4624349344842023
17,3353181277947455
18,4481982189769819
19,3716378739140249
20,8037098495288980
21,7096228449228489
22,8295425848418855
23,1549039977162962
24,0742447443530425
25,2249074352821232
26,2540733672905515
27,2911134983219799
28,2153506219894492
29,5165041200948847
30,1220159473975458
31,9291398329256011
32,2538824540800669
33,8912160484639720
34,0124603260134608
35,9859511150127352
36,1793761926067897
37,1190700200800606
38,8900592234180797
39,0072954652250238
40,5802743461244907
41,2763241614261951
42,5530023010203804
43,6408169127073219
44,7826389991864785
45,3009454850934763
46,7271809963846268
47,3533844615312370
48,5516424346600815
49,5277492107669504
50,2728374980692269
51,6000133796297063
52,2293659295741000
53,6298775450874291
54,5594705199631576
55,8783652264979787
56,9604735363839730
57,7664772378216765
58,4090219754109759
59,6553779481379743
60,6858139747014559
61,8922470135347131
62,0725312844547101
63,1073151883256954
64,9324788138817522
65,5795414161401952
66,4565588694951636
67,0823100995780758
68,8921922898103482
69,5703717142850350
70,5882662534904226
71,3418556691506490
72,1433426629868073
73,3916683240962357
74,6575569264319071
75,2963479281903760
76,7720754304065239
77,5004871892074407
78,7057043794921783
79,4743726124254735
80,4999713109630711
81,6088211615625803
82,7272815954622994
83,5080058473539252
84,8128743330371501
85,1493239952726031
86,6591054979909368
87,2680905746363331
88,6408257624509628
89,0972869223145503
90,8999535447828760
91,8703740676075525
92,8231221319859774
93,1155446449250341
94,6916640146084317
95,0742446559548058
96,0971091607543044
97,5649236321441309
98,7535757110739404
99,8779104318194969
