,0
0,8286209184527011
1,9286795171322846
2,4987216474124557
3,4872713551384969
4,7703594344797645
5,7287031996968391
6,2230639531724463
7,5790238611041834
8,0725750287341168
9,8249061910928115
10,1596401343987246
11,9092459603648586
12,4954699765655343
13,0351531509597193
14,0201361251312074
15,6021377505029665
16,6058485365158976
17,4360873591646028
18,9121907190104646
19,4286534266111799
20,5035304315421620
21,3939532654744480
22,2640929291808415
23,9021644568209077
24,7758192020816194
25,3340258557255619
26,8100923258337993
27,5681181471077426
28,1123390691453566
29,8528926739379835
30,0774787368316223
31,7913059681999862
32,1647318644299561
33,6713072836977893
34,2185904879371466
35,7541323048519138
36,2336287299613364
37,3016172133493089
38,6005889298633841
39,7838024850861158
40,8187572698319879
41,7511492642565571
42,2325286514501589
43,3738754607800422
44,4396034814949684
45,7617623719171750
46,2135880931401089
47,6692968437800167
48,7415854824349046
49,5363803718078948
50,6843594697945779
51,0432825836089426
52,5138426222420186
53,3241905846920207
54,3776345573864268
55,5635352837026339
56,8497812227637741
57,0545785084290513
58,4142456089656080
59,1188086132826132
