,0
0,9416844941446325
1,7927677053650819
2,4347006311423350
3,4983349618185283
4,4987439782337345
5,7153553682954852
6,6667812520893885
7,5660469902738038
8,2828941457227683
9,2413567691663920
10,6945883783312845
11,0865211214618618
12,9503575575613542
13,3969217191687452
14,7821954899047629
15,9003489318938913
16,4039841663043863
17,6605525179580364
18,2929899812598313
19,9030707448549156
20,2642156714590604
21,9274817658247444
22,3387305180640853
23,0556407671255595
24,9883547704448526
25,5911814779756172
26,4065267714747712
27,0594317540884620
28,7664790931310514
29,0007332204631197
30,6935890756504964
31,1990427833073161
32,1149729469091651
33,7738167015455111
34,3585057691697337
35,4744580649418084
36,2742016472989791
37,0602062190347329
38,8372363591179624
39,9415439028566792
40,3394868607994712
41,7609443602759381
42,8241114701792148
43,3327673910047431
44,0457680155949405
45,2449907645269009
46,2030708742766455
47,4301531823989684
48,0396057711360224
49,2447411715133128
50,5817139729811547
51,4161151442533491
52,4071752060449218
53,3363615000303340
54,4531914672489076
55,8493249341254372
56,8891045064075199
57,7124931056289027
58,5008222023801977
59,8258858460621065
60,1369273685630276
61,2326964857375089
62,3766874594044562
63,6261005932566359
64,8343699060914150
65,8187147768335662
66,7796134210271116
67,2965930777269053
68,6270932469079893
69,8059508629232656
70,9449315151367208
71,1715885118416828
72,7814089708845704
73,3035620499629987
74,3854498137493248
75,2363921444131672
76,9812351745583847
77,1178948690201659
78,9405337414047265
79,6080868501695877
80,1766977536282278
81,4579698936425962
82,9521949677900552
83,0750048720229101
84,9411253722342940
85,5047485742216555
86,7531622930504270
87,9325979084800204
88,0925584743106743
89,5085046065890176
90,8243001226255815
91,3368404126695911
92,3807603064705018
93,3160691112817642
94,6245571598254760
95,1324616109366783
96,2533297944605843
97,4599267670150719
98,5699855342488237
99,8691255594471749
